WKT,FID,LSOA21CD,LSOA21NM,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
POINT (-2.43686 53.59974),4507,E01004766,Bolton 005A,371186,411551,-2.43686,53.59974,515481.1178,5219.376095,efd4b186-2e9b-4e89-aa39-2b39b061065e
POINT (-2.42651 53.59939),4508,E01004767,Bolton 005B,371871,411508,-2.42651,53.59939,521437.9697,5026.34952,c0c34084-3eaa-43cb-846a-5a746c3dc7c1
POINT (-2.45443 53.61474),4509,E01004768,Bolton 001A,370034,413227,-2.45443,53.61474,3912721.189,10970.94825,a17d43ca-bfba-46b2-8d6e-cd8a8d492992
POINT (-2.42554 53.61093),4510,E01004769,Bolton 003A,371943,412792,-2.42554,53.61093,404482.5652,4071.830912,81b99517-109f-4c55-aa2b-af472573db6f
POINT (-2.42349 53.60523),4511,E01004770,Bolton 003B,372075,412156,-2.42349,53.60523,442363.1698,4842.44101,6ec0783e-ffe2-49ee-bb9c-e69853d9e9fb
POINT (-2.43441 53.61076),4512,E01004771,Bolton 003C,371356,412776,-2.43441,53.61076,452624.6411,4125.944594,9feed09e-b104-4396-88e4-a5056cd14c2e
POINT (-2.4437 53.60718),4513,E01004772,Bolton 005C,370739,412382,-2.4437,53.60718,325433.5359,3650.257397,242a84c5-831a-4a21-9663-301cf5c839d8
POINT (-2.43145 53.60548),4514,E01004773,Bolton 003D,371548,412188,-2.43145,53.60548,266226.6508,4078.609579,d0fb657c-ec68-4b4b-9ff0-5469fc4f09f0
POINT (-2.43799 53.60292),4515,E01004774,Bolton 005D,371114,411905,-2.43799,53.60292,310608.1246,3823.290023,03f12e70-12f6-4162-a20e-05e996cbdb08
POINT (-2.5173 53.56983),4516,E01004775,Bolton 014A,365839,408259,-2.5173,53.56983,7441083.705,18137.59026,7d904938-3fd7-484b-b2e8-6c486b9c18aa
POINT (-2.53701 53.5587),4517,E01004776,Bolton 031A,364524,407031,-2.53701,53.5587,5355131.935,13220.99821,48ed4b53-b5d0-4c1b-adbe-d8928c1b4f01
POINT (-2.55213 53.5975),4518,E01004777,Bolton 004A,363556,411355,-2.55213,53.5975,343627.1387,4769.262374,174eebb2-eb8e-4e05-aa04-6f1568b0c7cc
POINT (-2.58765 53.5964),4519,E01004778,Bolton 009A,361204,411251,-2.58765,53.5964,437860.8018,3677.151164,dd27624a-9e6b-48d1-908c-1b4e8487c86e
POINT (-2.55895 53.59587),4520,E01004779,Bolton 007A,363103,411177,-2.55895,53.59587,297546.9527,3096.664745,fa35b323-550c-484f-a5ba-e58b7a06b896
POINT (-2.6095 53.59212),4521,E01004780,Bolton 009B,359754,410788,-2.6095,53.59212,6241299.027,23428.19085,b3a65976-a3a6-4f81-9e39-09146ebeb2d4
POINT (-2.54383 53.58725),4522,E01004781,Bolton 007B,364097,410210,-2.54383,53.58725,2732451.826,8462.583568,fff2f007-60e4-4200-bb99-b630e0ae3409
POINT (-2.58498 53.58948),4523,E01004782,Bolton 009C,361375,410480,-2.58498,53.58948,608624.6857,5331.692279,27e2e752-fbd8-4b85-934e-e756c2d01fef
POINT (-2.57437 53.58164),4524,E01004783,Bolton 009D,362070,409602,-2.57437,53.58164,1542691.692,7458.928397,45ec364c-65f6-4fc8-b803-f5af8b2e025c
